Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh),Conditions Met
2024-09-13,09:27:11,2.3832,69.003,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-13,11:39:39,19.5144,331.18,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-13,18:52:18,3.2402,95.592,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-13,22:27:27,3.2742,81.436,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-14,08:23:53,544.9232,6196.389,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-14,17:30:01,60.824,361.183,"utility_grid_off, pcsv_not_fault"
2024-09-14,18:33:29,1.9258,10.904,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-14,18:49:26,5.3184,36.749,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-14,19:09:09,3.6435,34.37,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-14,19:31:09,3.0136,39.642,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-15,07:03:09,3.5564,43.18,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-15,14:28:51,13.6037,219.903,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-15,22:15:13,3.895,41.801,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-16,02:59:39,4.4589,44.422,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-16,10:53:16,3.3862,3.392,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-16,12:01:29,23.923,11.462,
2024-09-16,12:26:22,19.436,5.729,
2024-09-16,12:46:45,120.4097,61.529,
2024-09-16,14:48:06,13.6004,11.518,
2024-09-16,15:02:39,9.8278,5.358,
2024-09-16,15:35:56,32.7427,20.949,
2024-09-16,16:09:38,23.4146,14.701,
2024-09-16,16:34:00,13.197,8.048,
2024-09-16,16:48:08,8.3554,3.882,
2024-09-16,17:03:29,6.7388,1.305,
2024-09-16,17:16:07,11.3839,9.131,
2024-09-16,17:16:07,11.4054,9.131,
2024-09-16,19:00:18,2.9919,2.417,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-17,17:15:47,2.8366,83.577,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-18,04:36:26,2.5157,62.15,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-18,11:54:32,2.9728,89.288,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-18,14:36:42,2.9462,90.667,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,07:52:58,3.2676,95.495,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,11:44:55,3.0458,89.561,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,17:01:30,2.0054,56.222,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,18:33:41,10.2817,201.32,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,18:52:57,3.5337,59.758,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,18:59:08,3.1732,64.279,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,19:30:48,3.158,76.182,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,19:54:00,3.3191,90.314,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,20:02:38,1.0801,11.368,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,21:35:01,8.2266,214.747,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-19,23:47:41,3.86,90.5,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,01:00:07,6.36,154.204,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,01:16:13,8.535,218.318,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,03:41:58,1.098,0.47,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,07:59:49,2.9656,74.086,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,08:45:46,9.4956,234.341,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,09:45:48,2.6482,49.159,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,11:00:26,1.7788,21.755,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,11:53:13,5.0056,138.279,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,13:30:36,7.9265,212.903,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,17:09:30,8.6198,222.615,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,17:30:34,11.9264,324.254,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,17:46:45,2.5205,65.028,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,19:19:08,2.3775,45.754,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,19:48:52,8.2699,109.926,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-20,23:16:06,3.5038,79.471,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,03:35:27,11.9931,281.934,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,05:01:27,13.5409,319.704,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,05:46:21,4.382,106.116,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,06:40:32,3.9733,87.461,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,08:10:01,1.1522,23.096,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,09:00:38,3.702,83.204,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,10:43:55,4.7797,142.35,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,11:37:33,2.9995,85.299,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,12:55:03,1.1215,0.0,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,15:13:29,1.9106,45.084,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,18:10:37,7.3983,112.384,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,20:04:22,3.8759,104.438,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,20:12:00,2.6022,64.831,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,20:25:01,3.1056,71.85,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,20:41:34,5.8981,130.495,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,00:55:12,5.3112,136.077,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,01:32:43,2.6909,35.034,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,05:48:43,3.5844,92.909,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,08:35:37,2.1588,51.553,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,09:21:02,8.72,191.07,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,09:35:50,2.2093,43.327,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,11:17:06,8.3593,188.18,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,14:35:38,4.251,91.742,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,16:21:22,3.0994,49.409,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,18:05:47,2.4839,34.209,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,18:36:53,2.0721,24.21,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,21:48:34,6.5417,6.309,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,05:42:29,2.6712,9.067,"pcsv_var_abnormal, pcsv_not_fault, pcsv_on"
